
Harmonised long-term interest rates for convergence assessment purposes
Frequency: MONTHLY Data
Name:,IRS.M.BE.L.L40.CI.0000.EUR.N.Z,IRS.M.DE.L.L40.CI.0000.EUR.N.Z,IRS.M.IE.L.L40.CI.0000.EUR.N.Z,IRS.M.GR.L.L40.CI.0000.EUR.N.Z,IRS.M.ES.L.L40.CI.0000.EUR.N.Z,IRS.M.FR.L.L40.CI.0000.EUR.N.Z,IRS.M.IT.L.L40.CI.0000.EUR.N.Z,IRS.M.CY.L.L40.CI.0000.EUR.N.Z,IRS.M.LU.L.L40.CI.0000.EUR.N.Z,IRS.M.MT.L.L40.CI.0000.EUR.N.Z,IRS.M.NL.L.L40.CI.0000.EUR.N.Z,IRS.M.AT.L.L40.CI.0000.EUR.N.Z,IRS.M.PT.L.L40.CI.0000.EUR.N.Z,IRS.M.SI.L.L40.CI.0000.EUR.N.Z,IRS.M.SK.L.L40.CI.0000.EUR.N.Z,IRS.M.FI.L.L40.CI.0000.EUR.N.Z,IRS.M.BG.L.L40.CI.0000.BGN.N.Z,IRS.M.CZ.L.L40.CI.0000.CZK.N.Z,IRS.M.DK.L.L40.CI.0000.DKK.N.Z,IRS.M.LV.L.L40.CI.0000.LVL.N.Z,IRS.M.LT.L.L40.CI.0000.LTL.N.Z,IRS.M.HU.L.L40.CI.0000.HUF.N.Z,IRS.M.PL.L.L40.CI.0000.PLN.N.Z,IRS.M.RO.L.L40.CI.0000.RON.N.Z,IRS.M.SE.L.L40.CI.0000.SEK.N.Z,IRS.M.GB.L.L40.CI.0000.GBP.N.Z
Description:,"Belgium, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Germany, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Ireland, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Greece, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Spain, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","France, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Italy, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Cyprus, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Luxembourg, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Malta, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Netherlands, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Austria, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Portugal, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Slovenia, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Slovakia, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Finland, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Euro - Unspecified counterpart sector","Bulgaria, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Bulgarian lev - Unspecified counterpart sector","Czech Republic, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Czech koruna - Unspecified counterpart sector","Denmark, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Danish krone - Unspecified counterpart sector","Latvia, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Latvian lats - Unspecified counterpart sector","Lithuania, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Lithuanian litas - Unspecified counterpart sector","Hungary, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Hungarian forint - Unspecified counterpart sector","Poland, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Polish zloty - Unspecified counterpart sector","Romania, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Romanian leu - Unspecified counterpart sector","Sweden, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in Swedish krona - Unspecified counterpart sector","United Kingdom, Long-term interest rate for convergence purposes - Unspecified rate type, Debt security issued, 10 years maturity, New business coverage, denominated in UK pound sterling - Unspecified counterpart sector"
Units:,"PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT","PERCENT"
 
DATE,T01.01_r1,T01.01_r2,T01.01_r4,T01.01_r5,T01.01_r6,T01.01_r7,T01.01_r8,T01.01_r9,T01.01_r10,T01.01_r11,T01.01_r12,T01.01_r13,T01.01_r14,T01.01_r15,T01.01_r16,T01.01_r17,T01.01_r18,T01.01_r19,T01.01_r20,T01.01_r21,T01.01_r22,T01.01_r23,T01.01_r24,T01.01_r25,T01.01_r26,T01.01_r27
JAN-2001     ,5.16 , 4.8 , 5.03 , 5.35 ,5.08 ,4.94 ,5.18 ,7.68 ,5.06 ,6.11 ,4.93 , 5.1 , 5.16   ,NA ,8.25 ,5.02   ,NA ,6.82 ,5.09 , 7.64 , 9.31 , 8.05 ,10.43    ,NA ,4.89 ,4.94
FEB-2001     ,5.16 ,4.78 , 5.01 , 5.35 ,5.12 ,4.93 ,5.18 ,7.68 ,5.08 ,6.11 ,4.92 , 5.1 , 5.14   ,NA ,8.17 ,5.02   ,NA , 6.5 ,5.06 , 7.82 , 9.77 , 8.34 ,10.23    ,NA ,4.86 ,4.95
MAR-2001     ,5.08 ,4.67 , 4.92 , 5.28 ,5.04 ,4.84 ,5.13 ,7.66 ,4.93 ,6.11 ,4.83 ,5.01 , 5.09   ,NA ,8.09 ,4.94   ,NA ,6.24 ,4.95 ,  7.9 , 8.64 , 8.57 ,10.62    ,NA ,4.75 ,4.82
APR-2001     ,5.21 ,4.83 , 5.09 , 5.39 ,5.18 ,   5 ,5.28 ,7.63 ,5.05 ,6.11 ,5.02 ,5.16 , 5.27   ,NA ,   8 , 5.1   ,NA ,6.25 ,5.14 ,  7.9 ,  8.5 , 8.61 ,10.61    ,NA ,4.93 ,5.03
MAY-2001     ,5.38 ,5.05 , 5.28 , 5.54 ,5.36 ,5.21 ,5.45 ,7.71 , 5.3 ,6.11 ,5.22 ,5.34 , 5.42   ,NA ,8.02 ,5.29   ,NA ,6.49 ,5.35 , 7.54 , 8.46 , 8.07 ,11.26    ,NA ,5.27 ,5.21
JUN-2001     ,5.33 ,   5 , 5.23 , 5.48 ,5.33 ,5.15 , 5.4 , 7.7 ,5.15 ,6.14 ,5.17 ,5.27 , 5.38   ,NA ,8.05 ,5.26   ,NA ,6.72 ,5.33 ,  7.6 , 8.46 ,  7.8 ,11.66    ,NA ,5.38 , 5.3
